SN 2001hs 52289.37 I  1.732e-01 3.246e-01  25.0 B -1.216 0.014
SN 2001hs 52323.34 I  8.514e-02 3.586e-01  43.5               
SN 2001hs 52369.24 I -1.006e-01 2.866e-01  68.5               
SN 2001hs 52204.52 R -1.021e-01 1.242e+00 -21.3               
SN 2001hs 52231.33 R  2.131e+00 3.849e+00  -6.6               
SN 2001hs 52232.33 R  2.491e+00 1.118e+00  -6.1               
SN 2001hs 52236.36 R  2.805e+00 1.509e+00  -3.9               
SN 2001hs 52252.37 R  1.340e+00 1.502e+00   4.8               
SN 2001hs 52283.35 R -5.159e-02 3.741e+00  21.7               
SN 2001hs 52288.25 R -1.042e-01 1.896e+00  24.4               
SN 2001hs 52289.26 R  1.498e-01 1.512e+00  24.9               
SN 2001hs 52323.37 R  4.859e-01 1.483e+00  43.5               
SN 2001hs 52377.24 R -4.145e-01 1.486e+00  72.9               
SN 2001hs 52198.52 Z -2.945e+00 1.117e+00 -24.5               
SN 2001hs 52204.56 Z  0.000e+00 3.421e-01 -21.2               
SN 2001hs 52231.43 Z  3.614e+00 3.314e-01  -6.6 V -1.150 0.126
SN 2001hs 52232.38 Z  3.683e+00 4.704e-01  -6.1 V -1.158 0.126
SN 2001hs 52236.29 Z  4.752e+00 4.383e-01  -3.9 V -1.153 0.126
SN 2001hs 52252.29 Z  4.490e+00 4.009e-01   4.8 V -1.135 0.126
SN 2001hs 52283.41 Z  1.374e+00 7.003e-01  21.8 V -0.842 0.126
SN 2001hs 52288.27 Z  9.729e-01 2.887e-01  24.4 V -0.825 0.126
SN 2001hs 52289.21 Z  1.497e+00 4.063e-01  24.9 V -0.823 0.126
SN 2001hs 52323.28 Z -1.711e-01 8.553e-02  43.5               
SN 2001hu 52195.57 I  0.000e+00 3.748e-01 -22.8               
SN 2001hu 52225.48 I  2.899e+00 2.171e-01  -6.9 B -1.258 0.034
SN 2001hu 52231.47 I  3.554e+00 3.374e-01  -3.7 B -1.257 0.034
SN 2001hu 52232.45 I  3.412e+00 3.539e-01  -3.2 B -1.257 0.034
SN 2001hu 52252.42 I  2.157e+00 4.514e-01   7.4 B -1.254 0.034
SN 2001hu 52262.50 I  1.275e+00 4.049e-01  12.8 B -1.202 0.034
SN 2001hu 52288.50 I  1.924e-01 4.122e-01  26.6 B -1.168 0.034
SN 2001hu 52289.54 I  5.746e-01 1.166e+00  27.1 B -1.169 0.034
SN 2001hu 52323.40 I  5.126e-01 1.231e+00  45.1 B -1.178 0.034
SN 2001hu 52369.26 I  2.891e-01 1.113e-01  69.5 B -1.130 0.034
SN 2001hu 52231.45 R  9.956e-01 6.533e-01  -3.7               
SN 2001hu 52232.43 R  8.732e-01 9.284e-01  -3.2               
SN 2001hu 52236.41 R  9.447e-01 2.676e+00  -1.1               
SN 2001hu 52252.40 R  1.509e-01 6.898e-01   7.4               
SN 2001hu 52283.57 R -4.126e-02 1.385e+00  23.9               
SN 2001hu 52288.57 R -1.766e-01 1.044e+00  26.6               
SN 2001hu 52289.57 R -3.566e-01 1.918e+00  27.1               
SN 2001hu 52323.38 R -7.287e-03 6.475e-01  45.1               
SN 2001hu 52377.26 R -1.612e-01 1.033e+00  73.7               
SN 2001hu 52231.50 Z  3.733e+00 3.632e-01  -3.7 V -1.218 0.149
SN 2001hu 52232.48 Z  3.181e+00 2.991e-01  -3.2 V -1.199 0.149
SN 2001hu 52236.44 Z  3.008e+00 8.636e-01  -1.1 V -1.119 0.149
SN 2001hu 52283.54 Z  3.307e-01 1.328e-01  24.0 V -0.813 0.149
SN 2001hu 52288.52 Z  4.430e-01 5.981e-01  26.6 V -0.802 0.149
SN 2001hu 52289.49 Z  3.846e-01 2.568e-01  27.1 V -0.801 0.149
SN 2001hu 52323.44 Z  2.898e-01 8.257e-01  45.1 V -0.790 0.149
SN 2001hu 52378.30 Z -3.973e-01 4.887e-01  74.3               
SN 2001hx 52191.56 I -2.000e-01 4.762e-01 -23.3               
SN 2001hx 52198.61 I -8.001e-01 3.593e-01 -19.4               
SN 2001hx 52204.61 I  2.814e-01 1.575e-01 -16.1 B -1.109 0.031
SN 2001hx 52225.56 I  3.053e+00 6.549e-01  -4.4 B -1.205 0.031
SN 2001hx 52231.63 I  3.689e+00 2.443e-01  -1.1 B -1.197 0.031
SN 2001hx 52232.52 I  3.815e+00 1.257e-01  -0.6 B -1.196 0.031
SN 2001hx 52236.50 I  3.418e+00 5.841e-02   1.6 B -1.199 0.031
SN 2001hx 52252.53 I  2.198e+00 2.425e-01  10.6 B -1.236 0.031
SN 2001hx 52263.51 I  1.441e+00 3.576e-01  16.7 B -1.242 0.031
SN 2001hx 52283.49 I  3.770e-01 3.646e-01  27.8 B -1.250 0.031
SN 2001hx 52288.47 I  3.823e-01 2.832e-02  30.5 B -1.252 0.031
SN 2001hx 52289.41 I  3.894e-02 8.674e-02  31.1 B -1.252 0.031
SN 2001hx 52323.55 I -5.098e-01 1.427e+00  50.0               
SN 2001hx 52369.29 I  0.000e+00 1.310e-01  75.5               
SN 2001hx 52231.59 R  1.308e+00 4.589e-02  -1.1               
SN 2001hx 52236.57 R  1.305e+00 1.579e-01   1.7               
SN 2001hx 52252.57 R  4.298e-01 1.692e-01  10.6               
SN 2001hx 52283.59 R -1.617e-01 8.961e-02  27.8               
SN 2001hx 52288.40 R  1.007e-01 1.467e-01  30.5               
SN 2001hx 52289.59 R -3.193e-02 3.367e-02  31.1               
SN 2001hx 52323.53 R -8.141e-01 2.985e-01  50.0               
SN 2001hx 52378.24 R  1.877e-01 5.963e-02  80.4               
SN 2001hx 52231.54 Z  3.562e+00 3.176e-01  -1.1 V -1.061 0.112
SN 2001hx 52236.55 Z  3.644e+00 4.737e-01   1.7 V -1.052 0.112
SN 2001hx 52252.48 Z  2.044e+00 4.597e-01  10.5 V -1.015 0.112
SN 2001hx 52283.45 Z  4.737e-01 1.351e-01  27.7 V -0.909 0.112
SN 2001hx 52288.43 Z  4.068e-01 2.480e-01  30.5 V -0.805 0.112
SN 2001hx 52289.44 Z  8.526e-01 3.943e-01  31.1 V -0.805 0.112
SN 2001hx 52323.48 Z -2.926e-02 4.792e-01  50.0               
SN 2001hx 52369.32 Z -5.141e-01 5.085e-01  75.4               
SN 2001hx 52377.29 Z  0.000e+00 2.926e-01  79.9               
SN 2001hy 52191.56 I -5.605e-02 3.965e-01 -23.7               
SN 2001hy 52198.61 I -2.720e-01 5.771e-01 -19.8               
SN 2001hy 52204.61 I  8.839e-01 2.160e-01 -16.5 B -1.166 0.023
SN 2001hy 52225.56 I  2.976e+00 2.584e-01  -5.0 B -1.205 0.023
SN 2001hy 52231.63 I  3.235e+00 1.965e-01  -1.6 B -1.216 0.023
SN 2001hy 52232.52 I  3.537e+00 9.913e-02  -1.1 B -1.217 0.023
SN 2001hy 52236.50 I  3.220e+00 1.682e-01   1.1 B -1.222 0.023
SN 2001hy 52252.53 I  1.597e+00 8.320e-02   9.9 B -1.237 0.023
SN 2001hy 52263.51 I  1.103e+00 4.779e-01  16.0 B -1.241 0.023
SN 2001hy 52283.49 I  7.493e-02 2.567e-01  27.0               
SN 2001hy 52288.47 I  4.661e-01 3.045e-01  29.8 B -1.235 0.023
SN 2001hy 52289.41 I -8.261e-02 4.815e-01  30.2               
SN 2001hy 52323.55 I -1.947e+00 1.498e+00  49.1               
SN 2001hy 52369.29 I  4.484e-02 3.381e-01  74.4               
SN 2001hy 52231.59 R  1.415e+00 8.844e-02  -1.6               
SN 2001hy 52236.57 R  1.299e+00 6.482e-02   1.1               
SN 2001hy 52252.57 R  4.908e-01 1.224e-01  10.0               
SN 2001hy 52283.59 R  1.191e-01 9.028e-02  27.1               
SN 2001hy 52288.40 R  8.557e-03 7.236e-02  29.7               
SN 2001hy 52289.59 R  2.159e-01 4.623e-02  30.4               
SN 2001hy 52323.53 R -1.156e-01 2.698e-01  49.1               
SN 2001hy 52378.24 R -3.206e-04 8.241e-02  79.3               
SN 2001hy 52231.54 Z  2.886e+00 1.881e-01  -1.7 V -1.067 0.123
SN 2001hy 52236.55 Z  3.205e+00 6.200e-01   1.1 V -1.048 0.123
SN 2001hy 52252.48 Z  1.015e+00 7.899e-01   9.9 V -1.018 0.123
SN 2001hy 52283.45 Z  5.233e-02 2.689e-01  27.0 V -0.780 0.123
SN 2001hy 52288.43 Z  1.916e-01 4.040e-01  29.7 V -0.801 0.123
SN 2001hy 52289.44 Z  1.359e-01 3.915e-01  30.3 V -0.803 0.123
SN 2001hy 52323.48 Z  2.279e-01 2.452e-01  49.1               
SN 2001hy 52369.32 Z  1.192e-02 4.152e-01  74.3               
SN 2001hy 52377.29 Z -3.949e-01 3.720e-01  78.8               
SN 2001iv 52195.57 I  0.000e+00 2.225e-01 -40.1               
SN 2001iv 52225.48 I -9.193e-01 4.660e-01 -18.7               
SN 2001iv 52231.48 I  8.874e-01 2.043e-01 -14.4 V -0.756 0.052
SN 2001iv 52232.46 I  1.969e+00 1.569e-01 -13.7 V -0.757 0.052
SN 2001iv 52236.49 I  6.649e+00 1.751e-01 -10.8 V -0.768 0.052
SN 2001iv 52252.43 I  2.106e+01 3.438e-01   0.6 V -0.820 0.052
SN 2001iv 52262.50 I  1.818e+01 2.727e-01   7.8 V -0.767 0.052
SN 2001iv 52283.53 I  8.977e+00 1.715e-01  22.9 V -0.885 0.052
SN 2001iv 52288.51 I  7.955e+00 1.222e-01  26.5 V -0.900 0.052
SN 2001iv 52289.56 I  7.273e+00 2.873e-01  27.2 V -0.903 0.052
SN 2001iv 52323.41 I  2.349e+00 2.353e-01  51.4               
SN 2001iv 52369.27 I  4.514e-01 1.678e-01  84.3               
SN 2001iv 52231.46 R  1.013e+00 1.161e-01 -14.4 B -0.656 0.066
SN 2001iv 52232.44 R  1.592e+00 2.185e-01 -13.7 B -0.655 0.066
SN 2001iv 52236.42 R  5.613e+00 1.265e-01 -10.8 B -0.647 0.066
SN 2001iv 52252.41 R  1.733e+01 2.325e-01   0.6 B -0.660 0.066
SN 2001iv 52283.58 R  3.902e+00 1.749e-02  22.9 B -0.854 0.066
SN 2001iv 52288.58 R  2.490e+00 9.203e-02  26.5 B -0.855 0.066
SN 2001iv 52289.58 R  2.085e+00 1.782e-01  27.2 B -0.855 0.066
SN 2001iv 52323.38 R  5.524e-01 8.290e-02  51.4               
SN 2001iv 52377.27 R  0.000e+00 4.107e-02  90.0               
SN 2001iv 52231.52 Z  2.198e+00 3.399e-01 -14.4               
SN 2001iv 52232.50 Z  1.606e+00 3.997e-01 -13.7               
SN 2001iv 52236.45 Z  8.811e+00 3.924e-01 -10.8               
SN 2001iv 52252.46 Z  2.072e+01 5.967e-01   0.6               
SN 2001iv 52283.56 Z  1.060e+01 3.953e-01  22.9               
SN 2001iv 52288.54 Z  9.535e+00 2.378e-01  26.5               
SN 2001iv 52289.50 Z  9.748e+00 5.047e-01  27.2               
SN 2001iv 52323.46 Z  2.375e+00 3.209e-01  51.5               
SN 2001iv 52378.31 Z  0.000e+00 4.479e-01  90.8               
SN 2001iw 52195.57 I -2.660e-02 1.514e-01 -41.0               
SN 2001iw 52225.48 I  2.826e-01 4.934e-01 -18.7 V -0.777 0.094
SN 2001iw 52231.47 I  4.437e+00 2.353e-01 -14.2 V -0.772 0.094
SN 2001iw 52232.45 I  5.048e+00 3.475e-01 -13.5 V -0.772 0.094
SN 2001iw 52236.48 I  1.202e+01 1.979e-01 -10.5 V -0.773 0.094
SN 2001iw 52252.42 I  2.971e+01 3.037e-01   1.4 V -0.804 0.094
SN 2001iw 52262.50 I  1.815e+01 2.289e-01   9.0 V -0.649 0.094
SN 2001iw 52283.52 I  1.151e+01 1.268e-01  24.7 V -0.871 0.094
SN 2001iw 52288.50 I  9.747e+00 2.125e-01  28.4 V -0.907 0.094
SN 2001iw 52289.54 I  9.482e+00 2.462e-02  29.2 V -0.914 0.094
SN 2001iw 52323.40 I  3.229e+00 3.739e-02  54.4               
SN 2001iw 52369.26 I  1.653e+00 3.502e-01  88.7               
SN 2001iw 52231.45 R  2.233e+00 1.341e-01 -14.2 B -0.626 0.101
SN 2001iw 52232.43 R  3.416e+00 3.042e-02 -13.5 B -0.624 0.101
SN 2001iw 52236.41 R  8.878e+00 5.319e-01 -10.5 B -0.611 0.101
SN 2001iw 52252.40 R  2.216e+01 2.905e-01   1.4 B -0.600 0.101
SN 2001iw 52283.57 R  3.892e+00 5.273e-02  24.7 B -0.935 0.101
SN 2001iw 52288.57 R  2.341e+00 9.101e-02  28.4 B -0.946 0.101
SN 2001iw 52289.57 R  2.463e+00 1.255e-01  29.2 B -0.947 0.101
SN 2001iw 52323.38 R  4.421e-01 1.899e-01  54.4               
SN 2001iw 52377.26 R  0.000e+00 2.500e-01  94.6               
